1	1:0	2:0	3:16758376	4:93531	5:16753324	6:12115	7:7229	8:6747	9:2813	10:16744322	
1	1:44	2:47	3:186734	4:80362	5:12518	6:14895	7:31297	8:16976	9:1670	10:22462	
1	1:26	2:27	3:131806	4:16751335	5:4521	6:15690	7:18174	8:12601	9:2963	10:20619	
1	1:48	2:38	3:66572	4:16751712	5:30361	6:9114	7:16766450	8:9231	9:3231	10:28866	
1	1:67	2:47	3:19213	4:114920	5:3899	6:7729	7:4429	8:2716	9:5521	10:27332	
1	1:56	2:50	3:162933	4:3120	5:1551	6:1700	7:3653	8:2245	9:447	10:7593	
1	1:88	2:75	3:16299	4:17691	5:1518	6:8673	7:6621	8:8131	9:2852	10:27938	
1	1:66	2:57	3:601261	4:94905	5:21870	6:13116	7:11832	8:5345	9:5166	10:16749564	
1	1:38	2:53	3:671095	4:25256	5:5804	6:5263	7:9263	8:7347	9:4070	10:31762	
1	1:35	2:47	3:217250	4:16745031	5:3480	6:1276	7:2627	8:2931	9:204	10:1160	
1	1:10	2:37	3:16763865	4:19769	5:2684	6:1807	7:932	8:472	9:1298	10:6057	
1	1:1	2:44	3:474917	4:121941	5:12146	6:28577	7:17966	8:7159	9:5234	10:22957	
1	1:4	2:40	3:50180	4:118263	5:14689	6:15772	7:2668	8:5313	9:810	10:5159	
1	1:1	2:26	3:74695	4:134349	5:4851	6:25821	7:23342	8:4812	9:3641	10:19544	
1	1:3	2:51	3:260486	4:54615	5:14171	6:8427	7:15916	8:7709	9:2942	10:16760727	
1	1:1	2:63	3:911459	4:126523	5:13284	6:6057	7:12187	8:5061	9:4428	10:12347	
1	1:1	2:47	3:87671	4:67596	5:78329	6:27556	7:15864	8:4949	9:2557	10:16747383	
1	1:1	2:67	3:120255	4:22521	5:7356	6:8452	7:3493	8:714	9:647	10:6754	
1	1:16	2:48	3:16724	4:132471	5:4322	6:1785	7:4820	8:4211	9:1844	10:30562	
1	1:26	2:57	3:97022	4:41878	5:10367	6:16761621	7:16070	8:5165	9:6325	10:23823	
1	1:35	2:93	3:32850	4:13668	5:1004	6:2953	7:3166	8:1932	9:975	10:3808	
1	1:41	2:100	3:9861	4:16747213	5:2804	6:16765917	7:11325	8:5500	9:6503	10:3431	
1	1:38	2:100	3:17247	4:16757966	5:20058	6:28500	7:8614	8:6272	9:4488	10:8430	
1	1:24	2:100	3:26648	4:16753594	5:30626	6:16746830	7:10592	8:5066	9:3415	10:8433	
1	1:41	2:97	3:32014	4:23056	5:20722	6:8615	7:8379	8:4979	9:2948	10:5288	
1	1:41	2:91	3:12682	4:96148	5:25642	6:5022	7:12687	8:2738	9:2991	10:32054	
1	1:23	2:57	3:48946	4:24436	5:5138	6:10182	7:2057	8:8379	9:1209	10:1629	
1	1:34	2:63	3:17093	4:28284	5:18601	6:15810	7:19742	8:2982	9:2296	10:3945	
1	1:4	2:61	3:66748	4:186030	5:2974	6:14860	7:6101	8:6962	9:5302	10:3832	
1	1:1	2:67	3:934385	4:16747684	5:8557	6:9153	7:5564	8:2448	9:1111	10:3251	
1	1:4	2:87	3:72511	4:127446	5:65461	6:20819	7:3529	8:6813	9:2333	10:5511	
1	1:29	2:83	3:182054	4:16401	5:5401	6:19263	7:2813	8:1215	9:1087	10:3378	
1	1:34	2:94	3:203366	4:16078	5:3372	6:1945	7:1420	8:481	9:270	10:4114	
1	1:37	2:66	3:16772196	4:16030	5:885	6:8158	7:6939	8:8110	9:2353	10:86568	
1	1:44	2:87	3:130423	4:16760067	5:16745618	6:16750100	7:12822	8:3858	9:1979	10:16761413	
1	1:17	2:97	3:6129	4:41860	5:9041	6:7192	7:5559	8:5608	9:4256	10:90320	
1	1:38	2:87	3:17695	4:18832	5:26642	6:16744541	7:12419	8:4844	9:1178	10:88489	
1	1:26	2:100	3:42673	4:86517	5:39927	6:20901	7:18119	8:9716	9:2044	10:87549	
1	1:21	2:90	3:18221	4:16750623	5:18471	6:14075	7:12233	8:11931	9:2290	10:93529	
1	1:29	2:80	3:16760203	4:20068	5:15903	6:6038	7:4402	8:461	9:1152	10:18472	
1	1:35	2:83	3:24275	4:16751507	5:8946	6:10580	7:4076	8:2400	9:844	10:19375	
1	1:56	2:91	3:4560	4:16772875	5:16744323	6:4823	7:17074	8:8336	9:1676	10:68615	
1	1:69	2:94	3:135105	4:14166	5:8772	6:17552	7:7573	8:9640	9:919	10:82237	
1	1:54	2:100	3:3258	4:11250	5:11209	6:23342	7:5324	8:4203	9:2594	10:16772747	
1	1:38	2:91	3:152249	4:16751271	5:14811	6:18362	7:15240	8:7455	9:2858	10:16752398	
1	1:27	2:88	3:1053755	4:37305	5:16747805	6:16752747	7:7229	8:5466	9:5100	10:16758598	
1	1:26	2:88	3:12791	4:16756033	5:15768	6:10926	7:13707	8:4180	9:1545	10:16759805	
1	1:47	2:80	3:30148	4:16776436	5:16762761	6:16772764	7:10176	8:7687	9:2206	10:16749443	
1	1:54	2:83	3:49760	4:16753314	5:13675	6:16440	7:9347	8:6368	9:1992	10:16756664	
1	1:43	2:75	3:149844	4:16752443	5:4561	6:10783	7:4361	8:7308	9:4676	10:16756987	
1	1:35	2:64	3:164276	4:21779	5:5788	6:14418	7:4093	8:5467	9:1469	10:12176	
1	1:14	2:74	3:1719362	4:199999	5:37409	6:21861	7:13531	8:5616	9:1940	10:16755941	
1	1:17	2:67	3:106811	4:62266	5:13245	6:19652	7:16752160	8:6789	9:2923	10:16760756	
1	1:38	2:61	3:16772984	4:11156	5:2053	6:7983	7:3183	8:591	9:130	10:9464	
1	1:48	2:83	3:12774	4:18326	5:10606	6:3933	7:8374	8:5684	9:2080	10:30488	
1	1:83	2:75	3:16755402	4:12649	5:1278	6:3076	7:1212	8:1503	9:488	10:8958	
1	1:70	2:84	3:42980	4:9855	5:20608	6:26350	7:13696	8:5306	9:3155	10:30918	
1	1:61	2:87	3:4091	4:7684	5:3353	6:3570	7:11243	8:6694	9:2930	10:16745650	
1	1:44	2:75	3:22087	4:15575	5:10935	6:9229	7:1243	8:2379	9:405	10:8487	
1	1:35	2:69	3:159299	4:143467	5:16751070	6:20993	7:12563	8:8777	9:2296	10:26882	
1	1:47	2:54	3:47475	4:137860	5:25120	6:16765577	7:2854	8:5271	9:2464	10:25272	
1	1:54	2:43	3:70856	4:80772	5:10116	6:11374	7:5201	8:20761	9:10013	10:76708	
1	1:87	2:37	3:143304	4:16746206	5:12483	6:7925	7:16753081	8:9960	9:4313	10:84318	
1	1:93	2:44	3:105920	4:128866	5:16616	6:11868	7:6422	8:16725	9:4671	10:67677	
1	1:70	2:38	3:227468	4:16745585	5:6023	6:9548	7:6147	8:14549	9:3284	10:18449	
1	1:70	2:63	3:53614	4:29799	5:7889	6:12725	7:10430	8:15932	9:3574	10:7400	
1	1:54	2:63	3:826770	4:445249	5:16750061	6:16757354	7:16760653	8:22023	9:27163	10:16748720	
1	1:29	2:48	3:1194877	4:27674	5:1578	6:16749675	7:2221	8:5963	9:3237	10:11089	
1	1:29	2:53	3:762904	4:88673	5:2045	6:16751986	7:22956	8:10971	9:7752	10:11502	
1	1:26	2:27	3:12163	4:16761657	5:3076	6:1985	7:1496	8:2601	9:1129	10:253	
1	1:21	2:30	3:1299091	4:245876	5:16766063	6:22828	7:16744750	8:12577	9:10134	10:7702	
1	1:26	2:61	3:45880	4:26284	5:2566	6:2406	7:4560	8:1707	9:623	10:231	
1	1:35	2:80	3:1402573	4:237008	5:68257	6:77958	7:16744436	8:23161	9:7679	10:8086	
1	1:43	2:100	3:1658925	4:16752960	5:12241	6:16775009	7:9087	8:7562	9:9658	10:2733	
1	1:37	2:100	3:2119188	4:51618	5:140581	6:73224	7:16762608	8:21597	9:11478	10:16746956	
1	1:29	2:93	3:1886330	4:16749362	5:155199	6:67110	7:26375	8:16746544	9:23773	10:14570	
1	1:29	2:69	3:1244977	4:762277	5:262312	6:16749286	7:90728	8:32238	9:61676	10:29445	
1	1:11	2:43	3:1258283	4:25388	5:6779	6:10785	7:4194	8:1474	9:1625	10:1090	
1	1:13	2:40	3:363305	4:16746771	5:232	6:5162	7:1204	8:2225	9:3226	10:836	
1	1:7	2:23	3:1247089	4:279929	5:21328	6:32056	7:5261	8:10204	9:14138	10:3841	
1	1:3	2:29	3:2690	4:16757882	5:3688	6:8359	7:3595	8:1792	9:722	10:2405	
1	1:27	2:50	3:16751138	4:144765	5:6992	6:11646	7:11614	8:3780	9:5151	10:5150	
1	1:50	2:54	3:23717	4:97632	5:15457	6:14288	7:10576	8:6191	9:3511	10:5637	
1	1:69	2:64	3:16749529	4:6534	5:7763	6:12755	7:6542	8:6348	9:4389	10:4843	
1	1:61	2:64	3:162206	4:16745208	5:14558	6:2282	7:7980	8:8269	9:5060	10:9487	
1	1:44	2:44	3:16757177	4:16765453	5:8084	6:14735	7:4843	8:9419	9:4425	10:4288	
1	1:41	2:51	3:30823	4:124329	5:27560	6:25622	7:1810	8:5905	9:2542	10:2335	
1	1:16	2:70	3:16768411	4:16775792	5:4694	6:9125	7:5873	8:3994	9:1529	10:6021	
1	1:21	2:80	3:16750345	4:30685	5:19247	6:7047	7:1527	8:7692	9:1758	10:4020	
1	1:10	2:87	3:16758830	4:24285	5:16748534	6:16758383	7:474	8:1682	9:2133	10:2840	
1	1:1	2:67	3:147551	4:16745328	5:20659	6:6111	7:3162	8:2011	9:2533	10:2032	
1	1:24	2:44	3:16747690	4:63241	5:23533	6:16745721	7:6159	8:3778	9:4531	10:4781	
1	1:37	2:53	3:705176	4:136385	5:14894	6:5426	7:19040	8:3943	9:10244	10:5492	
1	1:43	2:66	3:1133299	4:32013	5:10809	6:6534	7:14580	8:14437	9:3209	10:4263	
