0 1:-2.1237	2:-2.7127	3:-0.31581	4:-0.40339	
0 1:-0.616	2:-1.6653	3:-0.11713	4:-0.31665	
0 1:2.7011	2:1.5296	3:3.7083	4:2.1	
0 1:-0.74628	2:-0.68158	3:34.8894	4:31.8647	
0 1:8.3213	2:2.4213	3:9779.0245	4:2845.4406	
0 1:-0.084859	2:-0.032241	3:31.5923	4:12.003	
0 1:2.2067	2:2.1916	3:5.9866	4:5.9457	
0 1:5012.9725	2:6154.7957	3:1.2481	4:1.5323	
0 1:0.29195	2:0.92781	3:-0.16507	4:-0.52461	
0 1:0.29473	2:0.38945	3:4.3007	4:5.6828	
0 1:9.8254	2:13.9316	3:6576.644	4:9325.1469	
0 1:-0.91532	2:-1.3194	3:12.6951	4:18.2988	
0 1:4872.6541	2:3793.2757	3:5.7469	4:4.4738	
0 1:1.4315	2:1.0392	3:7.644	4:5.5488	
0 1:2.3009	2:2.1564	3:9.0253	4:8.4585	
0 1:1.0275	2:1.4959	3:1667.8391	4:2428.2983	
0 1:4.3399	2:4.2385	3:-1.8137	4:-1.7714	
0 1:-3.1821	2:-5.0285	3:1017.0219	4:1607.1276	
0 1:-0.60449	2:-1.3026	3:-0.81306	4:-1.752	
0 1:-1.6008	2:-0.46338	3:2174.2171	4:629.3786	
0 1:-1741.4194	2:-1468.3065	3:-1741.3911	4:-1468.2826	
0 1:3490.9389	2:2710.5915	3:-0.84824	4:-0.65863	
0 1:4573.5678	2:5367.376	3:-2.8218	4:-3.3115	
0 1:8.7996	2:13.2726	3:5781.792	4:8720.8195	
0 1:7.9016	2:4.2671	3:2.3174	4:1.2515	
0 1:2.563	2:1.3818	3:-5.4462	4:-2.9362	
0 1:3.1689	2:6.8518	3:0.30877	4:0.66763	
0 1:4226.8627	2:9779.5578	3:3.3007	4:7.6367	
0 1:46.3587	2:30.4129	3:-2.4397	4:-1.6006	
0 1:8688.6424	2:5404.459	3:2.3513	4:1.4626	
0 1:7.4251	2:5.0758	3:-4.0309	4:-2.7555	
0 1:169.6817	2:57.1627	3:14.3476	4:4.8335	
0 1:6.2288	2:3.4472	3:-2.1246	4:-1.1758	
0 1:10.2716	2:4.49	3:-5.194	4:-2.2704	
0 1:13.8849	2:18.4731	3:-0.23584	4:-0.31377	
0 1:3.6464	2:16.648	3:1.6333	4:7.4571	
0 1:11.1759	2:12.4772	3:4.6678	4:5.2113	
0 1:184.1307	2:12.3129	3:109507.6928	4:7322.8483	
0 1:-1.4486	2:-2.8404	3:0.64203	4:1.2589	
0 1:25.0663	2:22.4604	3:3.2762	4:2.9356	
0 1:1.8156	2:13.3056	3:1639.1314	4:12012.4577	
0 1:8093.2899	2:8675.8726	3:8099.8981	4:8682.9565	
0 1:21.943	2:6.6614	3:84.6736	4:25.7051	
0 1:-1.6861	2:-0.80121	3:10.6184	4:5.0456	
0 1:10.7902	2:5.3013	3:21.5417	4:10.5836	
0 1:4.4423	2:5.7861	3:3.0216	4:3.9357	
0 1:2.2344	2:1.7984	3:6.6979	4:5.3911	
0 1:4.6485	2:3.6127	3:57.6331	4:44.7911	
0 1:1.7351	2:0.79607	3:5.0739	4:2.3279	
0 1:8.4024	2:4.7571	3:12.4656	4:7.0576	
0 1:4120.7355	2:2275.9226	3:5.6431	4:3.1167	
0 1:0.13605	2:0.18505	3:12.0476	4:16.3868	
0 1:2000.2423	2:5938.33	3:0.89672	4:2.6622	
0 1:8.0552	2:2.6381	3:10164.2814	4:3328.8779	
0 1:7.8147	2:5.3347	3:6.8038	4:4.6446	
0 1:-1.9459	2:-2.1524	3:-0.56468	4:-0.62463	
0 1:0.28568	2:0.69787	3:2.9676	4:7.2494	
0 1:-0.16546	2:-0.22219	3:1.4687	4:1.9723	
0 1:1.3289	2:0.59814	3:6936.8006	4:3122.2061	
0 1:0.34281	2:1.1399	3:-0.13654	4:-0.45401	
0 1:2.6988	2:4.9313	3:3247.5824	4:5933.9678	
0 1:5.2087	2:4.0175	3:5347.5448	4:4124.5342	
0 1:4585.2137	2:4017.29	3:-6.8852	4:-6.0324	
0 1:-1800.4012	2:-3310.6448	3:-1800.3827	4:-3310.6108	
0 1:0.70661	2:1.1357	3:9881.9941	4:15882.4459	
0 1:18.5535	2:30.0364	3:0.18419	4:0.29818	
0 1:7.0836	2:35.2766	3:1.1719	4:5.8363	
0 1:4.2099	2:4.7238	3:-0.68302	4:-0.7664	
0 1:8.396	2:14.0664	3:-1.262	4:-2.1143	
0 1:5.695	2:4.971	3:0.54548	4:0.47613	
0 1:10.1123	2:5.7137	3:-2.9349	4:-1.6583	
0 1:2523.5028	2:8369.197	3:0.0087442	4:0.029	
0 1:-1.5256	2:-0.47791	3:2.8922	4:0.90598	
0 1:3225.1249	2:3433.3041	3:-0.92262	4:-0.98217	
0 1:6.7101	2:5.132	3:3.4912	4:2.6702	
0 1:-0.47542	2:-0.63866	3:1.0487	4:1.4088	
0 1:17560.8302	2:3249.2304	3:9.6971	4:1.7942	
0 1:7.0261	2:23.8244	3:0.031741	4:0.10763	
0 1:3.7612	2:3.6389	3:0.44917	4:0.43457	
0 1:19.6747	2:9.2591	3:-0.76076	4:-0.35802	
0 1:-7.3472	2:-3.0962	3:3.1736	4:1.3374	
0 1:-1.3662	2:-0.96796	3:1.7802	4:1.2613	
0 1:2.9674	2:4.7622	3:8.6451	4:13.8741	
0 1:5689.9667	2:3549.2946	3:2.423	4:1.5114	
0 1:5654.3425	2:3967.5373	3:0.43088	4:0.30234	
0 1:5.4918	2:1.5506	3:0.3122	4:0.088148	
0 1:3283.316	2:7559.3312	3:1.6813	4:3.8709	
0 1:3905.8513	2:7458.3659	3:-1.2709	4:-2.4269	
0 1:-1.3531	2:-1.6568	3:6419.8424	4:7860.5394	
0 1:5442.6885	2:8034.6937	3:-2.3636	4:-3.4892	
0 1:5.7742	2:3.3207	3:0.39725	4:0.22845	
0 1:1.7515	2:1.7374	3:5.0938	4:5.0528	
0 1:2.9462	2:8.6606	3:12.4207	4:36.512	
0 1:5737.0582	2:4269.5406	3:1.4437	4:1.0744	
0 1:1.3532	2:7.2453	3:2.2632	4:12.1176	
0 1:-0.058959	2:-0.084503	3:2.9852	4:4.2786	
0 1:4.3108	2:3.0536	3:6401.6189	4:4534.6967	
0 1:3854.8746	2:4970.97	3:1.4905	4:1.922	
0 1:-0.36661	2:-0.19625	3:-7.5083	4:-4.0193	
0 1:3.0736	2:8.0761	3:-0.083977	4:-0.22065	
0 1:-1.9713	2:-2.0143	3:4.2911	4:4.3847	
0 1:4266.7723	2:5744.5752	3:-0.37863	4:-0.50976	
0 1:1.2491	2:6.9653	3:0.31914	4:1.7795	
0 1:6981.6083	2:3412.5031	3:6982.4401	4:3412.9097	
0 1:5273.4107	2:5992.5122	3:0.044724	4:0.050823	
0 1:5973.939	2:4691.7767	3:-1.9907	4:-1.5635	
0 1:7.0953	2:4.0319	3:-3.3874	4:-1.9249	
0 1:6.3028	2:2.1766	3:12.4578	4:4.3021	
0 1:4.9874	2:15.2405	3:-0.09005	4:-0.27518	
0 1:2926.8756	2:7382.331	3:0.2268	4:0.57206	
0 1:5734.9106	2:4066.5223	3:4.4801	4:3.1768	
0 1:4847.3579	2:4860.0142	3:1.855	4:1.8599	
0 1:3.8015	2:3.1119	3:0.98581	4:0.80697	
0 1:4392.0058	2:3778.8909	3:2.1352	4:1.8371	
0 1:22932.7603	2:10066.6957	3:6.0123	4:2.6392	
0 1:0.30312	2:0.63935	3:-0.43922	4:-0.92642	
0 1:1.9509	2:3.9118	3:1.6207	4:3.2496	
0 1:3.4177	2:4.0407	3:2.1776	4:2.5746	
0 1:11.7987	2:11.7757	3:7.0064	4:6.9927	
0 1:9.4751	2:3.7699	3:0.3955	4:0.15736	
0 1:4156.6333	2:3881.385	3:-1.4979	4:-1.3987	
0 1:0.54848	2:0.39687	3:-0.76689	4:-0.5549	
0 1:1.7995	2:2.7306	3:-0.93577	4:-1.42	
0 1:5709.2152	2:6151.9364	3:-1.7067	4:-1.839	
0 1:1.1148	2:0.78532	3:3.0237	4:2.1301	
0 1:-1.271	2:-0.7123	3:-0.64218	4:-0.35989	
0 1:17.8116	2:18.2613	3:-3.0928	4:-3.1709	
0 1:3450.5751	2:3069.0029	3:4.0467	4:3.5992	
0 1:6428.9697	2:6880.2644	3:0.80667	4:0.8633	
0 1:0.12058	2:0.56793	3:0.6101	4:2.8736	
0 1:2.5883	2:1.447	3:1.8892	4:1.0561	
0 1:2332.0596	2:6950.0786	3:-83.0412	4:-247.4822	
0 1:2.8276	2:9.4428	3:2785.8435	4:9303.1694	
0 1:-0.98536	2:-3.1702	3:-1.4437	4:-4.6447	
0 1:4.0547	2:1.1959	3:-1.1003	4:-0.32453	
0 1:3473.7221	2:18061.1088	3:1.5306	4:7.958	
0 1:5.2521	2:6.3348	3:0.50711	4:0.61165	
0 1:5989.3823	2:1998.8438	3:8.7625	4:2.9243	
0 1:-2.66	2:-2.4799	3:4841.8785	4:4514.0361	
0 1:4.4552	2:2.5386	3:9567.7282	4:5451.7058	
0 1:3476.2427	2:3082.3197	3:3479.555	4:3085.2566	
0 1:-0.37319	2:-0.070181	3:9734.6431	4:1830.6909	
0 1:1.2977	2:1.5761	3:3.9594	4:4.8087	
0 1:11240.5644	2:4712.5608	3:84.9839	4:35.6292	
0 1:1.6512	2:3.7757	3:10.8837	4:24.8879	
0 1:0.87041	2:0.5095	3:2.4932	4:1.4594	
0 1:1.0589	2:1.1778	3:4.2142	4:4.6875	
0 1:0.36397	2:0.49906	3:4.2156	4:5.7802	
0 1:1.6911	2:1.3181	3:3.3456	4:2.6075	
0 1:12.7937	2:3.968	3:-2.3284	4:-0.72215	
0 1:11.2576	2:6.0949	3:1.6482	4:0.89236	
0 1:1.1063	2:0.9119	3:9086.248	4:7489.2464	
0 1:2.1763	2:13.3783	3:0.33134	4:2.0368	
0 1:8.6104	2:6.3303	3:-0.66835	4:-0.49137	
0 1:2563.5667	2:2504.8942	3:4.4447	4:4.343	
0 1:3752.7456	2:14128.1695	3:0.21411	4:0.80607	
0 1:15.1574	2:6.5004	3:0.29019	4:0.12445	
0 1:-0.41777	2:-1.0061	3:-2.2131	4:-5.3296	
0 1:5302.0063	2:7891.8229	3:-4.3016	4:-6.4027	
0 1:3.7127	2:12.5252	3:0.822	4:2.7731	
0 1:1.2552	2:2.0385	3:4011.6179	4:6515.3669	
0 1:1.7975	2:5.5826	3:1.3148	4:4.0832	
0 1:-0.31397	2:-0.91637	3:2.6296	4:7.6749	
0 1:3638.2483	2:4126.7541	3:5.9635	4:6.7642	
0 1:1.0228	2:0.31658	3:33.9557	4:10.5101	
0 1:3542.1748	2:4738.2599	3:4.0947	4:5.4774	
0 1:3.2683	2:10.948	3:-0.043246	4:-0.14487	
0 1:2.8136	2:6.2987	3:-0.78652	4:-1.7607	
0 1:1.3678	2:2.5199	3:0.047977	4:0.088388	
0 1:3.2501	2:6.8943	3:-0.51086	4:-1.0837	
0 1:5752.5704	2:7950.3963	3:-3.1789	4:-4.3935	
0 1:4.9142	2:3.5676	3:-1.4457	4:-1.0496	
0 1:2.9399	2:3.0271	3:-3.8039	4:-3.9167	
0 1:9.1567	2:4.765	3:4.8645	4:2.5314	
0 1:3.765	2:5.5634	3:-0.31811	4:-0.47006	
0 1:2.5666	2:3.8642	3:-0.10584	4:-0.15934	
0 1:-0.030068	2:-0.1064	3:-0.21472	4:-0.75979	
0 1:2.882	2:2.882	3:0.42979	4:0.42979	
0 1:6636.5448	2:5921.046	3:0.75436	4:0.67303	
0 1:2910.1856	2:10154.7653	3:-0.8919	4:-3.1122	
0 1:4.7664	2:3.4503	3:-4.251	4:-3.0771	
0 1:-4.1012	2:-3.5652	3:-1.2124	4:-1.054	
0 1:-5799.2581	2:-9833.5247	3:-5802.1341	4:-9838.4013	
0 1:2.1265	2:3.0054	3:1.7409	4:2.4603	
0 1:2.5425	2:4.3776	3:-0.11261	4:-0.19389	
0 1:2.4487	2:0.72507	3:-3.2363	4:-0.95828	
0 1:-4.7521	2:-3.2448	3:-4.3006	4:-2.9366	
