1	1:0	2:0	3:432320	4:72552	5:16761756	6:12354	7:9883	8:4894	9:3092	10:16759062	
1	1:54	2:44	3:1923657	4:16766592	5:13973	6:16749506	7:14654	8:9792	9:3207	10:16751827	
1	1:61	2:26	3:16755997	4:97601	5:23133	6:5169	7:5880	8:7585	9:2076	10:16752681	
1	1:54	2:8	3:468036	4:41330	5:8717	6:20608	7:7534	8:5029	9:2177	10:16755142	
1	1:60	2:1	3:32213	4:69717	5:15319	6:9321	7:4299	8:5061	9:1515	10:16750915	
1	1:67	2:14	3:147694	4:16764406	5:16771007	6:16745205	7:20039	8:18782	9:6072	10:16757545	
1	1:57	2:51	3:16763446	4:15836	5:7556	6:10551	7:4681	8:1205	9:1410	10:10807	
1	1:54	2:51	3:995055	4:278172	5:26448	6:25776	7:16745675	8:11883	9:4632	10:16761162	
1	1:38	2:84	3:1691	4:16757331	5:25508	6:81360	7:12812	8:4063	9:1427	10:30253	
1	1:38	2:63	3:16755736	4:24746	5:12827	6:5871	7:7712	8:10948	9:3382	10:16769524	
1	1:34	2:26	3:201237	4:46577	5:4856	6:7737	7:10973	8:4706	9:592	10:70338	
1	1:37	2:48	3:1130598	4:174320	5:90227	6:24425	7:9341	8:16659	9:1323	10:338722	
1	1:67	2:35	3:1443027	4:621696	5:424244	6:46206	7:18043	8:214940	9:11463	10:1860110	
1	1:57	2:37	3:821763	4:802442	5:195667	6:140272	7:16755994	8:124291	9:8678	10:2110952	
1	1:84	2:67	3:2377590	4:163710	5:88984	6:102264	7:80494	8:69019	9:9763	10:1871968	
1	1:97	2:69	3:403015	4:223608	5:89062	6:30838	7:16053	8:16747483	9:1075	10:448540	
1	1:80	2:41	3:548418	4:237774	5:16385	6:11488	7:12660	8:23239	9:2051	10:421722	
1	1:67	2:61	3:2622360	4:31655	5:16746962	6:16759416	7:15732	8:8655	9:1699	10:341694	
1	1:56	2:60	3:201816	4:32254	5:15738	6:13972	7:3282	8:5951	9:698	10:35900	
1	1:43	2:44	3:773850	4:472400	5:31076	6:16749530	7:11219	8:28526	9:2276	10:447586	
1	1:60	2:63	3:73573	4:31466	5:7216	6:5608	7:1781	8:7334	9:559	10:32988	
1	1:56	2:51	3:1159505	4:94673	5:16758349	6:25741	7:7222	8:10899	9:1605	10:318714	
1	1:69	2:44	3:884073	4:54981	5:16771816	6:31557	7:16760374	8:16750911	9:1747	10:307741	
1	1:70	2:63	3:969987	4:157078	5:16766435	6:16754763	7:11135	8:14882	9:1371	10:399646	
1	1:54	2:60	3:2733332	4:192219	5:16764639	6:25251	7:25404	8:20912	9:1003	10:350611	
1	1:50	2:51	3:593236	4:172226	5:16769019	6:16755622	7:24154	8:15367	9:1673	10:352426	
1	1:40	2:37	3:195807	4:267594	5:17767	6:28130	7:9152	8:31343	9:2230	10:334434	
1	1:48	2:44	3:1165993	4:67617	5:16771322	6:21824	7:2843	8:14293	9:1244	10:298403	
1	1:54	2:70	3:2830451	4:20351	5:79731	6:16113	7:20738	8:11112	9:2411	10:345711	
1	1:61	2:75	3:1100376	4:64495	5:16770611	6:18660	7:16059	8:15034	9:1551	10:322255	
1	1:74	2:94	3:932712	4:16764925	5:22873	6:16765146	7:29416	8:26126	9:2017	10:413875	
