0	1:180	2:53	3:21	4:72	5:48	6:17	7:5	
0	1:0	2:0	3:0	4:0	5:0	6:399	7:0	
0	1:134	2:49	3:41	4:112	5:53	6:2	7:5	
0	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:395	2:1	3:0	4:1	5:0	6:0	7:0	
0	1:3	2:395	3:0	4:0	5:0	6:0	7:0	
0	1:181	2:142	3:38	4:9	5:21	6:4	7:2	
0	1:398	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:223	2:20	3:99	4:17	5:35	6:2	7:1	
0	1:199	2:0	3:0	4:199	5:0	6:0	7:0	
0	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:169	2:69	3:77	4:30	5:32	6:12	7:8	
0	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:397	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:102	2:113	3:100	4:51	5:19	6:2	7:9	
0	1:1	2:0	3:396	4:0	5:0	6:0	7:0	
0	1:0	2:0	3:0	4:0	5:0	6:199	7:199	
0	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:190	2:46	3:91	4:19	5:37	6:6	7:7	
0	1:398	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:0	2:0	3:398	4:0	5:0	6:0	7:0	
0	1:250	2:51	3:25	4:36	5:16	6:11	7:8	
0	1:196	2:90	3:63	4:19	5:23	6:3	7:2	
0	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:0	2:0	3:399	4:0	5:0	6:0	7:0	
0	1:398	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:76	2:27	3:249	4:30	5:9	6:2	7:2	
0	1:134	2:93	3:95	4:41	5:18	6:7	7:8	
0	1:120	2:122	3:85	4:50	5:11	6:3	7:4	
0	1:2	2:395	3:2	4:0	5:0	6:0	7:0	
0	1:149	2:79	3:117	4:33	5:10	6:6	7:4	
0	1:161	2:126	3:76	4:10	5:6	6:12	7:5	
0	1:0	2:399	3:0	4:0	5:0	6:0	7:0	
0	1:283	2:69	3:19	4:16	5:6	6:3	7:2	
0	1:199	2:199	3:0	4:0	5:0	6:0	7:0	
0	1:252	2:43	3:44	4:6	5:37	6:9	7:5	
0	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:174	2:71	3:81	4:41	5:22	6:1	7:6	
0	1:178	2:9	3:94	4:88	5:18	6:4	7:6	
0	1:2	2:397	3:0	4:0	5:0	6:0	7:0	
0	1:397	2:0	3:1	4:0	5:0	6:0	7:0	
0	1:4	2:394	3:0	4:0	5:0	6:0	7:0	
0	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:333	2:33	3:17	4:10	5:3	6:1	7:0	
0	1:267	2:22	3:60	4:12	5:14	6:17	7:4	
0	1:89	2:49	3:125	4:59	5:60	6:12	7:3	
0	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:70	2:26	3:86	4:200	5:11	6:3	7:1	
0	1:250	2:31	3:63	4:42	5:7	6:3	7:1	
0	1:260	2:64	3:33	4:27	5:8	6:3	7:2	
0	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:0	2:398	3:0	4:0	5:0	6:0	7:0	
0	1:182	2:56	3:49	4:43	5:31	6:27	7:8	
0	1:204	2:14	3:42	4:100	5:31	6:3	7:2	
