1	1:54	2:122	3:25	4:16	5:19	6:4	7:158	
1	1:1	2:197	3:0	4:0	5:197	6:0	7:2	
1	1:7	2:0	3:378	4:2	5:7	6:2	7:1	
1	1:8	2:6	3:6	4:371	5:2	6:2	7:2	
1	1:102	2:29	3:80	4:28	5:25	6:104	7:30	
1	1:50	2:73	3:111	4:31	5:41	6:33	7:56	
1	1:3	2:0	3:391	4:0	5:0	6:0	7:2	
1	1:10	2:360	3:1	4:1	5:1	6:0	7:24	
1	1:11	2:367	3:1	4:1	5:1	6:1	7:14	
1	1:152	2:11	3:12	4:23	5:23	6:37	7:137	
1	1:3	2:194	3:194	4:1	5:1	6:0	7:3	
1	1:6	2:4	3:2	4:369	5:3	6:1	7:12	
1	1:135	2:29	3:33	4:49	5:18	6:46	7:87	
1	1:0	2:0	3:198	4:0	5:0	6:0	7:198	
1	1:165	2:35	3:15	4:25	5:18	6:52	7:87	
1	1:2	2:0	3:1	4:0	5:394	6:0	7:0	
1	1:18	2:366	3:6	4:1	5:3	6:1	7:2	
1	1:7	2:1	3:10	4:3	5:2	6:372	7:3	
1	1:35	2:81	3:68	4:37	5:15	6:29	7:132	
1	1:60	2:93	3:76	4:29	5:39	6:55	7:43	
1	1:83	2:124	3:14	4:62	5:14	6:28	7:71	
1	1:38	2:95	3:65	4:43	5:76	6:52	7:28	
1	1:134	2:56	3:31	4:4	5:19	6:63	7:89	
1	1:4	2:7	3:10	4:368	5:1	6:3	7:4	
1	1:40	2:48	3:47	4:76	5:22	6:81	7:82	
1	1:55	2:63	3:41	4:19	5:102	6:73	7:45	
1	1:146	2:22	3:39	4:25	5:38	6:41	7:85	
1	1:152	2:60	3:62	4:30	5:15	6:52	7:27	
1	1:2	2:1	3:194	4:0	5:1	6:194	7:4	
1	1:10	2:375	3:1	4:5	5:0	6:3	7:2	
1	1:5	2:1	3:0	4:0	5:194	6:194	7:2	
1	1:217	2:9	3:36	4:35	5:17	6:36	7:46	
1	1:4	2:98	3:0	4:98	5:98	6:97	7:2	
1	1:161	2:10	3:24	4:54	5:34	6:24	7:90	
1	1:3	2:98	3:1	4:98	5:98	6:98	7:1	
1	1:114	2:27	3:64	4:18	5:26	6:29	7:120	
1	1:7	2:371	3:4	4:0	5:1	6:0	7:13	
1	1:2	2:0	3:3	4:193	5:193	6:0	7:6	
1	1:154	2:14	3:36	4:7	5:28	6:6	7:152	
1	1:6	2:0	3:3	4:378	5:1	6:0	7:8	
1	1:192	2:3	3:41	4:6	5:14	6:5	7:135	
1	1:383	2:0	3:1	4:0	5:1	6:0	7:12	
1	1:152	2:4	3:46	4:0	5:16	6:0	7:180	
1	1:71	2:3	3:31	4:3	5:26	6:1	7:262	
1	1:30	2:308	3:14	4:0	5:6	6:0	7:38	
1	1:175	2:1	3:26	4:0	5:15	6:0	7:180	
1	1:9	2:326	3:15	4:0	5:8	6:0	7:40	
1	1:199	2:0	3:199	4:0	5:0	6:0	7:0	
1	1:155	2:3	3:47	4:0	5:33	6:0	7:159	
1	1:33	2:323	3:4	4:0	5:8	6:0	7:30	
1	1:158	2:2	3:50	4:0	5:32	6:0	7:155	
1	1:89	2:2	3:40	4:0	5:52	6:0	7:213	
1	1:25	2:344	3:4	4:0	5:3	6:0	7:22	
1	1:157	2:3	3:37	4:0	5:23	6:0	7:175	
1	1:135	2:20	3:39	4:0	5:15	6:1	7:187	
1	1:118	2:5	3:41	4:1	5:43	6:0	7:189	
1	1:152	2:7	3:53	4:0	5:12	6:0	7:172	
1	1:141	2:6	3:55	4:1	5:15	6:0	7:178	
1	1:89	2:50	3:31	4:0	5:13	6:0	7:214	
1	1:160	2:8	3:39	4:0	5:27	6:0	7:163	
1	1:41	2:300	3:12	4:0	5:6	6:0	7:38	
1	1:1	2:2	3:382	4:0	5:2	6:0	7:12	
1	1:157	2:12	3:16	4:0	5:34	6:0	7:177	
1	1:19	2:325	3:9	4:0	5:5	6:0	7:39	
1	1:90	2:22	3:6	4:1	5:35	6:0	7:242	
1	1:122	2:47	3:13	4:2	5:11	6:0	7:202	
1	1:2	2:0	3:0	4:0	5:387	6:0	7:8	
1	1:69	2:91	3:3	4:1	5:24	6:0	7:208	
1	1:95	2:40	3:3	4:3	5:27	6:0	7:228	
1	1:125	2:48	3:3	4:1	5:20	6:0	7:200	
1	1:17	2:3	3:345	4:0	5:3	6:0	7:29	
1	1:5	2:2	3:356	4:0	5:4	6:0	7:31	
1	1:1	2:1	3:2	4:360	5:3	6:0	7:30	
1	1:3	2:388	3:0	4:0	5:1	6:0	7:5	
1	1:72	2:57	3:1	4:1	5:50	6:2	7:214	
1	1:71	2:75	3:4	4:2	5:32	6:1	7:211	
1	1:33	2:12	3:1	4:4	5:30	6:2	7:314	
1	1:0	2:197	3:0	4:0	5:198	6:0	7:3	
1	1:204	2:6	3:2	4:1	5:17	6:0	7:167	
1	1:6	2:2	3:365	4:0	5:1	6:0	7:24	
1	1:203	2:4	3:1	4:0	5:22	6:1	7:164	
1	1:1	2:198	3:0	4:0	5:198	6:0	7:1	
1	1:4	2:3	3:370	4:0	5:3	6:0	7:18	
1	1:1	2:2	3:193	4:0	5:193	6:0	7:9	
1	1:75	2:74	3:1	4:1	5:26	6:5	7:215	
1	1:1	2:132	3:0	4:132	5:0	6:0	7:132	
1	1:5	2:391	3:0	4:0	5:0	6:0	7:1	
1	1:4	2:2	3:193	4:2	5:1	6:193	7:2	
1	1:2	2:2	3:3	4:380	5:0	6:0	7:10	
1	1:107	2:39	3:6	4:10	5:15	6:0	7:218	
1	1:2	2:1	3:1	4:380	5:0	6:0	7:13	
1	1:0	2:395	3:0	4:0	5:0	6:0	7:3	
1	1:66	2:12	3:7	4:0	5:39	6:1	7:272	
1	1:4	2:4	3:1	4:347	5:3	6:0	7:38	
1	1:398	2:0	3:0	4:0	5:0	6:0	7:0	
1	1:236	2:13	3:11	4:8	5:25	6:1	7:103	
1	1:117	2:48	3:7	4:9	5:14	6:2	7:199	
1	1:396	2:0	3:0	4:0	5:0	6:0	7:2	
1	1:1	2:387	3:0	4:0	5:0	6:0	7:9	
1	1:2	2:388	3:0	4:0	5:0	6:0	7:7	
1	1:71	2:62	3:9	4:35	5:11	6:3	7:205	
1	1:397	2:0	3:0	4:0	5:0	6:0	7:2	
1	1:126	2:10	3:12	4:6	5:10	6:0	7:232	
1	1:85	2:7	3:30	4:38	5:12	6:9	7:215	
1	1:84	2:25	3:11	4:44	5:29	6:16	7:188	
1	1:0	2:198	3:0	4:198	5:0	6:0	7:0	
1	1:398	2:0	3:0	4:0	5:0	6:0	7:0	
1	1:2	2:0	3:0	4:392	5:0	6:0	7:3	
1	1:38	2:45	3:158	4:31	5:99	6:7	7:19	
1	1:103	2:37	3:78	4:97	5:62	6:9	7:10	
1	1:199	2:0	3:0	4:0	5:0	6:0	7:199	
1	1:396	2:0	3:0	4:0	5:0	6:0	7:2	
1	1:168	2:39	3:2	4:4	5:23	6:2	7:158	
1	1:3	2:193	3:0	4:0	5:193	6:0	7:8	
1	1:0	2:0	3:131	4:131	5:131	6:0	7:5	
1	1:0	2:0	3:0	4:0	5:0	6:0	7:399	
1	1:1	2:380	3:0	4:0	5:1	6:0	7:15	
1	1:16	2:41	3:5	4:7	5:19	6:1	7:308	
1	1:3	2:0	3:0	4:0	5:385	6:0	7:9	
1	1:22	2:57	3:18	4:41	5:11	6:5	7:242	
1	1:0	2:2	3:394	4:0	5:0	6:0	7:2	
1	1:22	2:6	3:2	4:1	5:324	6:0	7:41	
1	1:98	2:43	3:19	4:26	5:10	6:7	7:195	
1	1:114	2:80	3:23	4:13	5:28	6:11	7:128	
1	1:0	2:0	3:0	4:196	5:196	6:0	7:5	
1	1:76	2:76	3:21	4:10	5:28	6:6	7:179	
1	1:61	2:55	3:20	4:7	5:35	6:7	7:212	
1	1:11	2:1	3:375	4:0	5:0	6:0	7:9	
1	1:1	2:0	3:386	4:0	5:0	6:0	7:10	
1	1:204	2:27	3:11	4:5	5:5	6:0	7:144	
1	1:16	2:1	3:0	4:371	5:0	6:0	7:9	
1	1:0	2:196	3:196	4:0	5:0	6:0	7:4	
1	1:1	2:0	3:388	4:0	5:0	6:0	7:7	
1	1:1	2:197	3:197	4:0	5:0	6:0	7:3	
1	1:5	2:0	3:388	4:0	5:0	6:0	7:5	
1	1:0	2:0	3:392	4:0	5:0	6:0	7:6	
1	1:0	2:0	3:397	4:0	5:0	6:0	7:1	
1	1:397	2:0	3:0	4:0	5:0	6:0	7:1	
1	1:397	2:0	3:0	4:0	5:0	6:0	7:1	
1	1:391	2:0	3:0	4:0	5:0	6:0	7:6	
1	1:234	2:7	3:11	4:17	5:5	6:1	7:122	
1	1:2	2:388	3:0	4:0	5:0	6:0	7:7	
1	1:2	2:1	3:0	4:191	5:191	6:0	7:13	
1	1:4	2:2	3:189	4:0	5:189	6:0	7:12	
1	1:84	2:21	3:32	4:14	5:10	6:1	7:236	
1	1:1	2:0	3:197	4:197	5:0	6:0	7:2	
1	1:87	2:9	3:24	4:17	5:14	6:2	7:243	
1	1:0	2:132	3:132	4:132	5:0	6:0	7:2	
