1	1:41	2:29	3:2113142	4:160320	5:34832	6:92939	7:80734	8:16764670	9:74016	10:16756716	
1	1:40	2:21	3:393837	4:16773224	5:14477	6:4720	7:15007	8:14066	9:17394	10:11603	
1	1:44	2:41	3:1576584	4:1466361	5:51271	6:172862	7:16749595	8:57776	9:124197	10:71952	
1	1:35	2:20	3:487091	4:16769743	5:12280	6:12742	7:5987	8:8172	9:9423	10:14015	
1	1:38	2:30	3:1207566	4:1457155	5:163426	6:82416	7:16766382	8:144686	9:159979	10:16752266	
1	1:27	2:17	3:183048	4:7635	5:3230	6:1231	7:833	8:2483	9:5509	10:2486	
1	1:30	2:17	3:2155480	4:1012201	5:16747885	6:16750762	7:15052	8:16749417	9:75458	10:32069	
1	1:44	2:50	3:918308	4:504543	5:78487	6:134567	7:131811	8:82675	9:29836	10:37073	
1	1:41	2:50	3:1194113	4:55795	5:52223	6:118706	7:66275	8:16773094	9:16775692	10:23995	
1	1:43	2:77	3:951450	4:16749727	5:12786	6:7580	7:8274	8:11096	9:12086	10:5734	
1	1:37	2:75	3:453950	4:254449	5:88997	6:66805	7:16118	8:17718	9:10998	10:6645	
1	1:34	2:41	3:901177	4:263363	5:16758529	6:16750859	7:16774483	8:28090	9:10123	10:16762539	
1	1:43	2:38	3:1252829	4:903322	5:7386	6:150204	7:114090	8:147757	9:81489	10:99822	
1	1:63	2:53	3:1419046	4:16749109	5:7628	6:6284	7:2913	8:15954	9:12599	10:18694	
1	1:61	2:77	3:130341	4:16764707	5:28884	6:80257	7:13962	8:17442	9:15977	10:11255	
1	1:64	2:100	3:1757373	4:102947	5:294717	6:16770193	7:69306	8:16751233	9:36928	10:16776551	
1	1:54	2:100	3:815681	4:199325	5:216720	6:16774994	7:16748551	8:74943	9:47549	10:16756760	
1	1:53	2:100	3:1942608	4:108719	5:155173	6:73578	7:16746038	8:72453	9:14609	10:76049	
1	1:69	2:100	3:241418	4:16768861	5:26617	6:3977	7:6828	8:8780	9:16891	10:23931	
1	1:61	2:78	3:550614	4:16749979	5:16757146	6:16750134	7:17574	8:23428	9:22050	10:9977	
1	1:54	2:56	3:808309	4:397645	5:16750000	6:16753843	7:25742	8:16763715	9:16752598	10:28347	
1	1:53	2:66	3:592655	4:138619	5:7453	6:23616	7:16745534	8:18428	9:15670	10:19707	
1	1:37	2:43	3:881397	4:69873	5:68477	6:11156	7:4445	8:14286	9:10951	10:16085	
1	1:44	2:51	3:1613946	4:1138534	5:37344	6:132941	7:25270	8:37222	9:88404	10:16775371	
1	1:23	2:57	3:936580	4:79140	5:16656	6:20851	7:17475	8:19816	9:11820	10:13215	
1	1:7	2:37	3:16762381	4:18990	5:2976	6:2561	7:1263	8:874	9:1155	10:413	
1	1:4	2:38	3:681607	4:1662508	5:61338	6:178425	7:107939	8:79008	9:75963	10:162047	
1	1:1	2:27	3:641671	4:126826	5:28183	6:15379	7:3016	8:15242	9:9691	10:6104	
1	1:8	2:20	3:39435	4:156381	5:19691	6:10015	7:9689	8:24215	9:16769131	10:13661	
1	1:38	2:14	3:966731	4:31866	5:1102	6:4559	7:4009	8:1781	9:3522	10:6601	
1	1:64	2:10	3:1857790	4:348781	5:16756914	6:15889	7:21325	8:86697	9:16760704	10:27712	
1	1:63	2:11	3:185124	4:13441	5:821	6:2281	7:3507	8:5900	9:2707	10:3830	
1	1:78	2:35	3:1150228	4:69970	5:9992	6:14070	7:16752200	8:10223	9:26752	10:8875	
1	1:57	2:27	3:2534952	4:103167	5:162693	6:16772744	7:16766733	8:16761686	9:78494	10:16751974	
1	1:37	2:27	3:763879	4:227135	5:12712	6:11596	7:8923	8:15695	9:22909	10:6325	
1	1:16	2:41	3:2828846	4:851187	5:16769482	6:39059	7:16751161	8:45719	9:16754166	10:16752563	
1	1:13	2:17	3:1176248	4:116079	5:90093	6:8671	7:10524	8:9394	9:11477	10:15600	
1	1:34	2:37	3:356591	4:15475	5:1657	6:1329	7:813	8:1667	9:2503	10:5609	
1	1:38	2:48	3:1823461	4:99690	5:16749487	6:27534	7:10435	8:16764090	9:30795	10:66332	
1	1:50	2:61	3:204320	4:34682	5:31565	6:13828	7:31851	8:17317	9:23348	10:74826	
1	1:64	2:70	3:202062	4:10685	5:21581	6:4593	7:2837	8:2639	9:3810	10:3142	
1	1:48	2:50	3:499821	4:63654	5:8463	6:16757757	7:13040	8:16759927	9:69968	10:33158	
1	1:63	2:53	3:156127	4:41108	5:3378	6:2839	7:11066	8:8350	9:5224	10:31364	
1	1:81	2:47	3:834390	4:30540	5:12926	6:25035	7:16770700	8:21709	9:13921	10:48653	
1	1:88	2:56	3:552094	4:16756397	5:16758514	6:7510	7:2178	8:19561	9:9184	10:21913	
1	1:96	2:67	3:76301	4:20480	5:21999	6:10146	7:4592	8:16746982	9:14486	10:16761416	
1	1:84	2:50	3:533089	4:218426	5:30489	6:4926	7:7211	8:16755700	9:16747307	10:71766	
1	1:96	2:47	3:172822	4:16752902	5:2801	6:1932	7:9936	8:11013	9:5423	10:13741	
1	1:93	2:37	3:7820	4:9327	5:11666	6:27810	7:23542	8:28575	9:25426	10:16771996	
1	1:94	2:54	3:789524	4:16752955	5:9551	6:11459	7:16706	8:30717	9:17830	10:94275	
1	1:100	2:63	3:524212	4:103395	5:82671	6:16759344	7:10992	8:16772430	9:16770986	10:36058	
1	1:93	2:61	3:1228	4:22737	5:1946	6:6572	7:8695	8:27520	9:16747400	10:40705	
1	1:54	2:63	3:676468	4:88067	5:16746655	6:16747024	7:23028	8:29290	9:16775982	10:122120	
1	1:41	2:41	3:54103	4:118778	5:28566	6:16746595	7:18350	8:5670	9:13466	10:12941	
1	1:34	2:54	3:1860902	4:495001	5:10563	6:16761200	7:23599	8:16750033	9:16746933	10:16760869	
1	1:29	2:51	3:87676	4:16760125	5:19932	6:13157	7:17347	8:28724	9:19342	10:65538	
1	1:41	2:38	3:729492	4:111427	5:16776724	6:23458	7:14177	8:16746980	9:16758849	10:16759995	
1	1:38	2:44	3:357377	4:223353	5:20861	6:10906	7:14164	8:15988	9:17678	10:16745094	
1	1:17	2:43	3:624142	4:933784	5:94599	6:88688	7:71220	8:16765172	9:16755690	10:59738	
1	1:17	2:24	3:1584350	4:804637	5:65628	6:228009	7:16745464	8:68548	9:16760706	10:112933	
1	1:29	2:40	3:16775944	4:37340	5:5223	6:6082	7:3627	8:14329	9:5107	10:11489	
1	1:27	2:44	3:104447	4:15496	5:1994	6:5506	7:1578	8:3939	9:3658	10:14006	
