1	1:0	2:0	3:61	4:5	5:2	6:4	7:6	8:3	9:3	10:2	
1	1:0	2:0	3:502991	4:352359	5:45282	6:90701	7:16747493	8:12775	9:5202	10:13409	
1	1:0	2:0	3:1749	4:11599	5:7589	6:11013	7:3764	8:4452	9:3086	10:13038	
1	1:48	2:30	3:5879	4:14593	5:5884	6:12186	7:12175	8:7030	9:3296	10:5351	
1	1:53	2:26	3:13795	4:16751554	5:5376	6:11186	7:13453	8:7018	9:7573	10:3362	
1	1:50	2:20	3:263973	4:34828	5:11811	6:16749048	7:20365	8:12396	9:8921	10:4569	
1	1:47	2:4	3:1354795	4:250608	5:16774099	6:16758367	7:24338	8:13503	9:5992	10:16755320	
1	1:40	2:29	3:1059136	4:393604	5:69295	6:20364	7:21910	8:15746	9:6635	10:16756362	
1	1:26	2:38	3:16755899	4:2233	5:2119	6:2190	7:832	8:193	9:237	10:3581	
1	1:29	2:29	3:213794	4:41052	5:16775467	6:21824	7:21005	8:3539	9:2289	10:16767282	
1	1:38	2:30	3:134549	4:69181	5:9479	6:4760	7:4705	8:3768	9:2659	10:14026	
1	1:41	2:14	3:951771	4:88296	5:5713	6:17408	7:1711	8:8847	9:8260	10:87802	
1	1:51	2:1	3:242698	4:138551	5:16766647	6:16746247	7:24425	8:20887	9:10057	10:16773665	
1	1:47	2:1	3:1065569	4:179843	5:18866	6:24613	7:22135	8:16036	9:5467	10:81231	
1	1:38	2:1	3:578785	4:142953	5:3865	6:16750730	7:5626	8:4692	9:3190	10:76466	
1	1:24	2:1	3:21154	4:74756	5:2808	6:9949	7:8641	8:3280	9:1410	10:16040	
1	1:20	2:1	3:728390	4:360170	5:14720	6:6015	7:16028	8:8826	9:2746	10:16762001	
1	1:29	2:1	3:89422	4:37804	5:7411	6:8707	7:12313	8:3542	9:2926	10:16775511	
1	1:27	2:10	3:97639	4:211929	5:22727	6:14137	7:24231	8:18863	9:6344	10:16773966	
1	1:29	2:34	3:148245	4:49567	5:29586	6:19607	7:10307	8:5780	9:5920	10:33546	
1	1:43	2:37	3:343265	4:38095	5:16754252	6:16464	7:16747638	8:4555	9:4186	10:16771402	
1	1:34	2:44	3:213857	4:16765799	5:862	6:14209	7:12915	8:7268	9:3356	10:16746986	
1	1:34	2:44	3:16758932	4:128458	5:16757213	6:8698	7:9734	8:7354	9:3448	10:16753421	
1	1:44	2:26	3:598165	4:204018	5:84191	6:6539	7:16751559	8:11410	9:7124	10:16763894	
1	1:35	2:34	3:510443	4:74162	5:1643	6:5737	7:2225	8:6610	9:940	10:8751	
1	1:44	2:38	3:598719	4:185942	5:16752889	6:16768953	7:8596	8:14456	9:7149	10:16932	
1	1:40	2:24	3:1750128	4:61611	5:6389	6:16765709	7:3586	8:12373	9:7512	10:9409	
