1	1:0	2:0	3:15	4:1	5:0	6:1	7:0	8:1	9:0	10:0	
1	1:0	2:0	3:899779	4:236063	5:83713	6:70285	7:9421	8:19276	9:8394	10:8652	
1	1:0	2:0	3:118919	4:30307	5:7012	6:11090	7:3904	8:1005	9:449	10:16777152	
1	1:30	2:51	3:1244447	4:148738	5:1944	6:11816	7:7065	8:8467	9:3787	10:3436	
1	1:38	2:60	3:16761849	4:20163	5:3271	6:1143	7:2924	8:3303	9:939	10:847	
1	1:29	2:60	3:118076	4:32070	5:16744723	6:9543	7:12156	8:2121	9:1236	10:1122	
1	1:53	2:63	3:16775281	4:16761115	5:11187	6:28532	7:13138	8:6454	9:2506	10:1660	
1	1:77	2:47	3:1793960	4:565313	5:18372	6:51252	7:16772470	8:19380	9:19920	10:17277	
1	1:88	2:38	3:349407	4:53656	5:16744620	6:28389	7:16766777	8:16769892	9:16764479	10:23581	
1	1:100	2:38	3:867650	4:35946	5:8400	6:17223	7:16756216	8:23596	9:14409	10:25244	
1	1:88	2:48	3:714524	4:146305	5:25885	6:21304	7:16747295	8:16755031	9:16753227	10:19398	
1	1:67	2:57	3:16763227	4:16757069	5:3735	6:6094	7:5744	8:3556	9:1169	10:1295	
1	1:47	2:74	3:27396	4:22396	5:15004	6:16343	7:5827	8:7092	9:2608	10:2792	
1	1:54	2:78	3:92436	4:46026	5:20415	6:16764018	7:14848	8:6061	9:5039	10:3288	
1	1:54	2:64	3:152868	4:16264	5:15596	6:7076	7:1723	8:1571	9:1200	10:484	
1	1:60	2:64	3:206537	4:110520	5:16753638	6:16745566	7:22902	8:16747478	9:4576	10:8026	
1	1:70	2:66	3:443866	4:115539	5:16751612	6:11674	7:16745792	8:32370	9:15916	10:5898	
1	1:83	2:70	3:877464	4:280785	5:5423	6:210079	7:64377	8:28501	9:16760932	10:14460	
1	1:80	2:88	3:1348792	4:29670	5:16754945	6:16756941	7:17980	8:11390	9:7548	10:7403	
1	1:91	2:90	3:17148	4:30932	5:19759	6:16744444	7:15799	8:26511	9:21584	10:9739	
1	1:94	2:87	3:56854	4:16763174	5:16768288	6:39300	7:16763393	8:23832	9:11574	10:9186	
1	1:80	2:80	3:74946	4:88954	5:20838	6:78167	7:16766037	8:25608	9:9547	10:5393	
1	1:83	2:75	3:146507	4:14531	5:15382	6:5528	7:2270	8:4406	9:3764	10:588	
1	1:64	2:63	3:16755409	4:40630	5:16808	6:30753	7:16747640	8:14588	9:20785	10:5649	
1	1:69	2:54	3:16758630	4:16748530	5:16751800	6:11414	7:18922	8:12420	9:7783	10:8380	
1	1:66	2:56	3:1932055	4:211557	5:6126	6:25263	7:10362	8:6638	9:7155	10:11127	
1	1:66	2:57	3:135704	4:32436	5:10174	6:8784	7:2745	8:9182	9:10285	10:7053	
1	1:78	2:70	3:47427	4:187248	5:71883	6:27884	7:19408	8:24976	9:5175	10:5981	
1	1:53	2:64	3:1657360	4:16759092	5:25188	6:16772315	7:24258	8:22552	9:9762	10:8242	
1	1:51	2:75	3:907663	4:72230	5:28740	6:16745616	7:22766	8:9822	9:6769	10:2552	
1	1:50	2:61	3:49457	4:337733	5:18830	6:16763294	7:30746	8:11892	9:6848	10:1704	
1	1:37	2:54	3:1106834	4:71293	5:16744456	6:77584	7:17989	8:12010	9:7768	10:26600	
1	1:51	2:56	3:79123	4:23865	5:9032	6:1601	7:23857	8:4868	9:2413	10:1797	
1	1:54	2:48	3:1412189	4:521216	5:131659	6:69833	7:37542	8:19568	9:17514	10:11209	
1	1:60	2:50	3:16763010	4:84466	5:9330	6:14007	7:7398	8:11099	9:6324	10:2214	
1	1:67	2:41	3:892945	4:136388	5:19774	6:16761493	7:17949	8:15431	9:16758609	10:18310	
1	1:63	2:50	3:1052023	4:83920	5:13130	6:17432	7:11113	8:22523	9:13177	10:9039	
1	1:74	2:60	3:317249	4:67054	5:5436	6:3348	7:16813	8:3564	9:5907	10:1338	
1	1:56	2:50	3:651232	4:293896	5:87863	6:140877	7:16773030	8:16745345	9:17982	10:3317	
1	1:64	2:66	3:302765	4:6766	5:9186	6:11398	7:4708	8:4030	9:1943	10:2254	
1	1:81	2:64	3:2417875	4:475338	5:20829	6:21856	7:19530	8:27789	9:12445	10:8642	
1	1:80	2:54	3:94824	4:19637	5:10556	6:6479	7:1182	8:3540	9:3796	10:3054	
1	1:90	2:77	3:308307	4:16747256	5:21038	6:20706	7:16753229	8:19267	9:8317	10:5260	
1	1:83	2:64	3:760013	4:47546	5:16750410	6:26599	7:22605	8:24389	9:13489	10:5310	
1	1:63	2:63	3:205745	4:8537	5:5458	6:6102	7:2345	8:1973	9:3154	10:3410	
1	1:51	2:69	3:57160	4:16757856	5:1531	6:8462	7:5372	8:3236	9:3073	10:990	
1	1:54	2:60	3:608486	4:250209	5:27155	6:89442	7:19260	8:21097	9:7390	10:3674	
1	1:48	2:43	3:512592	4:52052	5:79552	6:69303	7:17881	8:16075	9:9401	10:2129	
1	1:66	2:47	3:47987	4:95904	5:22330	6:26234	7:16749170	8:18850	9:9315	10:7125	
1	1:61	2:43	3:1280592	4:202954	5:3109	6:3913	7:16965	8:7405	9:5145	10:4484	
1	1:53	2:44	3:37621	4:16769599	5:19451	6:22624	7:6057	8:20559	9:3096	10:1367	
1	1:67	2:64	3:566935	4:131013	5:68880	6:16751017	7:9729	8:10055	9:5888	10:9809	
1	1:61	2:63	3:2304071	4:46227	5:16746133	6:14173	7:5493	8:11874	9:12394	10:12955	
1	1:69	2:60	3:916582	4:16772152	5:14963	6:8671	7:6946	8:9256	9:11189	10:11057	
1	1:66	2:61	3:52185	4:16759343	5:9964	6:17718	7:10535	8:10065	9:13733	10:4726	
1	1:67	2:69	3:83228	4:16764071	5:14526	6:22788	7:6242	8:6942	9:9246	10:6554	
1	1:61	2:66	3:16774952	4:65366	5:16752988	6:19816	7:5766	8:10787	9:4590	10:7201	
1	1:60	2:61	3:871941	4:80541	5:69838	6:15337	7:8536	8:21654	9:3049	10:1842	
1	1:66	2:61	3:1016445	4:16755352	5:4331	6:10801	7:8870	8:4514	9:7708	10:3752	
1	1:64	2:51	3:2869334	4:76405	5:17333	6:18781	7:23556	8:7241	9:18952	10:16931	
1	1:60	2:56	3:276728	4:79622	5:13842	6:20858	7:4764	8:10510	9:6302	10:4252	
1	1:54	2:57	3:236897	4:151580	5:13573	6:31131	7:11278	8:19687	9:7632	10:8200	
1	1:54	2:61	3:71949	4:16761243	5:15417	6:15089	7:7757	8:3884	9:2223	10:2971	
1	1:64	2:78	3:679620	4:335022	5:68079	6:45356	7:16747539	8:25546	9:6593	10:7273	
1	1:70	2:69	3:1998498	4:57363	5:20953	6:16772683	7:31036	8:18086	9:11997	10:6479	
1	1:75	2:69	3:668361	4:19476	5:16759551	6:18517	7:5447	8:19558	9:9911	10:5288	
1	1:88	2:66	3:1137555	4:349085	5:16751262	6:16751516	7:6731	8:16745547	9:21386	10:17815	
1	1:88	2:57	3:523163	4:40307	5:27642	6:24742	7:13050	8:10360	9:5433	10:4232	
1	1:88	2:67	3:393716	4:16749849	5:8577	6:22410	7:16757532	8:16238	9:11596	10:18274	
1	1:77	2:56	3:297835	4:19791	5:11606	6:16746437	7:27754	8:15547	9:15258	10:14251	
1	1:80	2:61	3:71780	4:18782	5:11473	6:5614	7:6432	8:2819	9:3192	10:2610	
1	1:81	2:56	3:2442059	4:193965	5:13923	6:15194	7:25701	8:8223	9:19325	10:6559	
1	1:66	2:41	3:48342	4:26956	5:3878	6:27581	7:22441	8:15234	9:11396	10:7856	
1	1:96	2:56	3:2782696	4:16753528	5:9058	6:30483	7:24407	8:20464	9:10729	10:11040	
1	1:83	2:54	3:959287	4:437522	5:16759948	6:5435	7:16753750	8:13205	9:10552	10:10043	
1	1:51	2:47	3:34515	4:1884	5:4317	6:131	7:2850	8:1709	9:3332	10:1166	
1	1:75	2:56	3:48454	4:16760432	5:19605	6:4597	7:7053	8:7539	9:2199	10:1442	
1	1:63	2:48	3:181406	4:44946	5:11428	6:8661	7:1425	8:3681	9:5022	10:3499	
1	1:57	2:61	3:103390	4:16752696	5:5370	6:8155	7:2893	8:6610	9:2234	10:2571	
1	1:81	2:75	3:16759996	4:6429	5:1057	6:902	7:997	8:1065	9:274	10:637	
1	1:88	2:70	3:70188	4:26914	5:16748795	6:16765336	7:10335	8:8280	9:3070	10:4786	
1	1:83	2:80	3:517047	4:78207	5:30658	6:69669	7:23971	8:26795	9:15748	10:16740	
1	1:94	2:61	3:742235	4:74022	5:24304	6:7937	7:80733	8:21937	9:10391	10:13082	
1	1:83	2:54	3:37809	4:16767857	5:16751142	6:18083	7:9746	8:9289	9:4064	10:8380	
1	1:84	2:64	3:230768	4:16750685	5:5588	6:6822	7:8534	8:8524	9:8873	10:2573	
1	1:88	2:56	3:53890	4:88400	5:13998	6:25674	7:11287	8:8911	9:23499	10:2449	
1	1:84	2:66	3:31147	4:66548	5:16744457	6:16747736	7:20523	8:29410	9:9659	10:5737	
1	1:78	2:63	3:786335	4:288563	5:74602	6:16753838	7:46363	8:16761043	9:16752716	10:9789	
1	1:66	2:63	3:1998418	4:16772108	5:16755747	6:72607	7:16776725	8:21930	9:6050	10:13756	
1	1:56	2:48	3:87743	4:16769453	5:9769	6:5772	7:4604	8:3092	9:2578	10:2028	
1	1:48	2:37	3:1135579	4:342051	5:137221	6:93819	7:29687	8:16762307	9:16536	10:19808	
1	1:64	2:35	3:199254	4:16774643	5:1729	6:1599	7:4846	8:3796	9:2127	10:2412	
1	1:69	2:26	3:2075238	4:385447	5:16755678	6:16769000	7:16760946	8:16755168	9:23871	10:29096	
1	1:87	2:40	3:283310	4:152499	5:69673	6:16755814	7:252362	8:16749051	9:16763796	10:20566	
1	1:96	2:40	3:1171201	4:95456	5:13248	6:17490	7:16752563	8:15903	9:27084	10:4813	
1	1:100	2:40	3:220286	4:78475	5:14134	6:13970	7:9019	8:22652	9:10266	10:6024	
1	1:100	2:40	3:313963	4:59493	5:10214	6:28712	7:16769171	8:27248	9:16748098	10:7796	
1	1:94	2:40	3:463025	4:87978	5:17892	6:8512	7:15287	8:29384	9:16715	10:10898	
1	1:94	2:41	3:1339935	4:161027	5:16770	6:21901	7:19250	8:15716	9:16934	10:9912	
1	1:88	2:41	3:370929	4:67113	5:12205	6:10709	7:9788	8:13524	9:11245	10:4998	
1	1:91	2:50	3:1652733	4:360192	5:26710	6:43330	7:38005	8:85376	9:16748680	10:28110	
1	1:77	2:54	3:923725	4:24611	5:7535	6:4420	7:29464	8:5492	9:4529	10:2224	
1	1:74	2:57	3:842099	4:28162	5:15694	6:2916	7:6069	8:4668	9:3648	10:1298	
1	1:67	2:63	3:1821558	4:670779	5:237261	6:76107	7:71270	8:16768610	9:16768394	10:14352	
1	1:61	2:56	3:849242	4:140643	5:30580	6:75930	7:39878	8:16744467	9:28367	10:19128	
1	1:75	2:56	3:202223	4:91081	5:32321	6:14384	7:30329	8:13190	9:8156	10:8598	
1	1:69	2:50	3:178319	4:194267	5:16754792	6:16749675	7:16747593	8:20969	9:23730	10:3766	
1	1:81	2:35	3:202660	4:21674	5:5499	6:11610	7:14490	8:5424	9:3630	10:914	
1	1:96	2:38	3:1954753	4:229914	5:16756906	6:21924	7:78005	8:16746520	9:13457	10:20711	
1	1:100	2:38	3:944586	4:169553	5:9005	6:13190	7:16767072	8:16769193	9:21476	10:16191	
1	1:100	2:47	3:16774028	4:16756164	5:22766	6:4949	7:22218	8:13673	9:6152	10:5710	
1	1:93	2:63	3:1299956	4:556202	5:224751	6:42502	7:38766	8:155952	9:143714	10:16765245	
1	1:74	2:63	3:988132	4:119423	5:92129	6:16748750	7:16744340	8:16756086	9:16759700	10:17303	
1	1:64	2:56	3:175391	4:10262	5:4231	6:1565	7:549	8:1578	9:178	10:16777155	
1	1:70	2:38	3:1227923	4:51096	5:13234	6:16749059	7:15680	8:7117	9:2569	10:1796	
1	1:77	2:29	3:588420	4:67768	5:5352	6:8848	7:3756	8:7626	9:22213	10:6822	
1	1:100	2:37	3:220270	4:84741	5:3506	6:3177	7:20148	8:20066	9:25757	10:7257	
1	1:83	2:34	3:1490806	4:165505	5:16749173	6:20443	7:30292	8:16749942	9:29320	10:9746	
1	1:75	2:40	3:163298	4:16755261	5:11899	6:86075	7:23858	8:16767374	9:15236	10:15251	
1	1:66	2:43	3:63368	4:303981	5:9040	6:16755196	7:7057	8:9820	9:14490	10:3559	
1	1:35	2:37	3:254435	4:163090	5:12507	6:15019	7:16753616	8:23258	9:16018	10:4548	
1	1:66	2:40	3:579440	4:16754340	5:3486	6:10752	7:11607	8:4564	9:8947	10:4657	
1	1:54	2:51	3:1298526	4:62248	5:17306	6:16751474	7:16747158	8:5319	9:5556	10:7842	
1	1:53	2:53	3:2054731	4:351978	5:72432	6:16745574	7:16770368	8:133538	9:16756043	10:11705	
1	1:83	2:60	3:521059	4:41084	5:16751767	6:24563	7:13896	8:8585	9:10719	10:7654	
1	1:61	2:48	3:335561	4:45899	5:11625	6:29210	7:11046	8:10759	9:8195	10:9496	
1	1:87	2:51	3:16776738	4:20523	5:20069	6:16751890	7:21475	8:25442	9:13164	10:9867	
