1	1:0	2:0	3:0	4:0	5:0	6:0	7:0	8:0	9:0	10:0	
1	1:0	2:0	3:545683	4:636291	5:14932	6:16767756	7:18893	8:28760	9:31801	10:23846	
1	1:0	2:0	3:947261	4:70354	5:16750127	6:22833	7:16359	8:14002	9:8795	10:18821	
1	1:30	2:30	3:96438	4:16759342	5:16749982	6:7614	7:17505	8:14209	9:11090	10:17152	
1	1:41	2:38	3:6658	4:10068	5:3233	6:25220	7:11665	8:12897	9:12714	10:9924	
1	1:48	2:26	3:185263	4:72666	5:2802	6:9561	7:4636	8:3259	9:605	10:2209	
1	1:54	2:29	3:32358	4:17196	5:13788	6:7764	7:15691	8:10327	9:3560	10:5083	
1	1:53	2:48	3:16756940	4:95836	5:6493	6:8618	7:8474	8:19346	9:4673	10:13436	
1	1:48	2:56	3:1839849	4:16753159	5:13224	6:7355	7:5614	8:11803	9:3459	10:2466	
1	1:44	2:83	3:143739	4:18555	5:2759	6:12142	7:2470	8:1003	9:468	10:1764	
1	1:40	2:88	3:6023	4:23556	5:19098	6:21350	7:4166	8:9423	9:5881	10:5049	
1	1:30	2:64	3:7879	4:7537	5:7591	6:15311	7:13718	8:4417	9:2954	10:4535	
1	1:26	2:30	3:37245	4:16757777	5:16639	6:13677	7:5909	8:8026	9:6718	10:4887	
1	1:29	2:3	3:159531	4:120397	5:4671	6:17701	7:5244	8:2856	9:3568	10:4074	
1	1:40	2:1	3:823166	4:227918	5:7336	6:17846	7:12744	8:24289	9:16765274	10:13850	
1	1:80	2:27	3:631253	4:76624	5:6298	6:3766	7:13132	8:16141	9:13936	10:3181	
1	1:100	2:48	3:63489	4:20565	5:8992	6:6334	7:4826	8:10875	9:4196	10:1722	
1	1:81	2:75	3:5721	4:8093	5:17053	6:13306	7:5446	8:29062	9:18400	10:13547	
1	1:75	2:91	3:8003	4:6329	5:9930	6:4590	7:11962	8:16157	9:7827	10:3644	
1	1:60	2:77	3:248512	4:16761708	5:8260	6:28735	7:3928	8:1991	9:2442	10:4175	
1	1:44	2:74	3:8605	4:7796	5:25610	6:18413	7:6605	8:7211	9:940	10:3947	
1	1:61	2:69	3:34523	4:84045	5:20959	6:9082	7:5600	8:21789	9:4734	10:1865	
1	1:53	2:50	3:21541	4:16766123	5:25116	6:5653	7:24277	8:13084	9:4128	10:1764	
1	1:60	2:57	3:16775226	4:27097	5:18307	6:12068	7:12266	8:8443	9:3542	10:7956	
1	1:57	2:57	3:126384	4:24692	5:7095	6:6312	7:5051	8:2612	9:2127	10:1487	
1	1:66	2:56	3:16763589	4:12024	5:1692	6:20777	7:23952	8:11406	9:5156	10:2931	
1	1:66	2:74	3:9424	4:28628	5:12429	6:2181	7:6539	8:6005	9:4227	10:5095	
1	1:56	2:70	3:17175	4:18242	5:23672	6:654	7:11452	8:14442	9:2577	10:3227	
1	1:40	2:67	3:25658	4:18766	5:20179	6:14663	7:2569	8:3353	9:3666	10:10585	
1	1:23	2:74	3:16745873	4:16771218	5:22958	6:13295	7:8750	8:10466	9:3087	10:3245	
1	1:40	2:60	3:16762767	4:36928	5:10684	6:17745	7:4779	8:3599	9:5942	10:3825	
1	1:40	2:47	3:6361	4:16771975	5:23791	6:16750930	7:5911	8:8812	9:3565	10:4430	
1	1:53	2:37	3:16771335	4:26403	5:12270	6:12287	7:5635	8:16538	9:2104	10:3095	
1	1:61	2:11	3:14637	4:16762928	5:3594	6:6981	7:9662	8:7343	9:6421	10:8232	
