1	1:0	2:0	3:4038	4:674	5:62	6:110	7:62	8:51	9:17	10:27	
1	1:0	2:0	3:557742	4:450925	5:16757868	6:22438	7:12230	8:9091	9:11058	10:7634	
1	1:0	2:0	3:9045	4:32557	5:15731	6:699	7:7837	8:6572	9:6444	10:824	
1	1:51	2:51	3:16774178	4:62246	5:16314	6:13783	7:8162	8:4544	9:4790	10:2777	
1	1:50	2:60	3:801541	4:28099	5:6489	6:13355	7:8526	8:8611	9:9248	10:4697	
1	1:50	2:50	3:14484	4:48501	5:20885	6:21673	7:9938	8:4901	9:4094	10:1696	
1	1:53	2:44	3:15012	4:114375	5:11599	6:10002	7:14721	8:9615	9:3471	10:4020	
1	1:40	2:40	3:55819	4:291098	5:16750541	6:13212	7:26275	8:18360	9:2224	10:1217	
1	1:38	2:29	3:51921	4:16748119	5:5431	6:8297	7:2502	8:2331	9:596	10:813	
1	1:43	2:56	3:815732	4:83724	5:5569	6:10464	7:9693	8:2597	9:2335	10:2432	
1	1:44	2:63	3:107219	4:16747024	5:13816	6:8246	7:5101	8:5031	9:1904	10:518	
1	1:53	2:78	3:385408	4:156734	5:16599	6:25011	7:13284	8:12231	9:3710	10:5409	
1	1:77	2:93	3:16190	4:22248	5:12042	6:29954	7:6811	8:7884	9:4503	10:2549	
1	1:87	2:100	3:29377	4:12077	5:10520	6:5054	7:3269	8:11796	9:1837	10:2104	
1	1:91	2:100	3:4945	4:1372	5:12592	6:7541	7:3740	8:6044	9:3050	10:2966	
1	1:90	2:100	3:74755	4:4219	5:7368	6:2624	7:2368	8:1183	9:2544	10:595	
1	1:74	2:100	3:15130	4:16771624	5:6508	6:20004	7:10161	8:8865	9:3256	10:2448	
1	1:61	2:87	3:16744451	4:23692	5:16762077	6:17693	7:11905	8:5603	9:4128	10:2530	
1	1:57	2:56	3:350505	4:166418	5:16751293	6:16757999	7:16776294	8:23110	9:6027	10:6650	
1	1:60	2:66	3:143583	4:16767308	5:5708	6:2784	7:4516	8:4708	9:7264	10:6771	
1	1:64	2:61	3:77715	4:28675	5:25932	6:18866	7:18192	8:8489	9:3726	10:4410	
1	1:66	2:80	3:16769755	4:16746884	5:19380	6:16751595	7:9829	8:11046	9:5409	10:5226	
1	1:74	2:100	3:495020	4:10963	5:7109	6:7334	7:2078	8:1677	9:2624	10:1445	
1	1:70	2:97	3:16768401	4:16757512	5:23884	6:26697	7:13508	8:14270	9:6167	10:3868	
1	1:64	2:70	3:721492	4:52023	5:89529	6:15462	7:18545	8:21328	9:18685	10:6475	
1	1:63	2:51	3:261112	4:16754077	5:5759	6:1085	7:2441	8:2626	9:2573	10:1388	
1	1:53	2:41	3:859720	4:209981	5:24602	6:16748375	7:17730	8:20005	9:10009	10:24838	
1	1:64	2:35	3:491027	4:276727	5:71518	6:26183	7:18275	8:21595	9:19483	10:10073	
1	1:80	2:40	3:3476	4:27329	5:6308	6:16769	7:12918	8:17229	9:7946	10:14705	
1	1:100	2:40	3:17465	4:16756105	5:10122	6:4257	7:9540	8:18492	9:16753692	10:10403	
1	1:100	2:27	3:475563	4:19433	5:5699	6:8517	7:7330	8:16744898	9:4403	10:7265	
1	1:100	2:35	3:14766	4:51709	5:11023	6:11898	7:25312	8:16750067	9:19433	10:6574	
1	1:100	2:43	3:16764326	4:16748163	5:28320	6:6348	7:2524	8:14591	9:14698	10:4616	
1	1:84	2:50	3:424068	4:16746597	5:8629	6:16417	7:6676	8:16944	9:8455	10:13186	
1	1:87	2:44	3:16754821	4:39729	5:16278	6:16746094	7:7836	8:19111	9:20345	10:18141	
1	1:84	2:43	3:252804	4:17705	5:1310	6:502	7:2236	8:6013	9:687	10:4150	
1	1:80	2:50	3:161886	4:15143	5:11036	6:1106	7:1941	8:4991	9:2334	10:3263	
1	1:70	2:40	3:1465129	4:16750503	5:20843	6:30580	7:8565	8:15805	9:14752	10:5317	
1	1:78	2:66	3:228659	4:340357	5:25326	6:28798	7:20730	8:15943	9:17878	10:12083	
1	1:67	2:57	3:176158	4:13389	5:909	6:16759538	7:12123	8:16755313	9:11110	10:22649	
1	1:60	2:47	3:122873	4:74296	5:19076	6:4097	7:6328	8:4603	9:14136	10:1829	
1	1:83	2:63	3:149629	4:16768381	5:6632	6:16933	7:7747	8:4806	9:1409	10:4400	
1	1:69	2:74	3:11958	4:20787	5:29476	6:5568	7:10655	8:16752343	9:15267	10:23758	
1	1:69	2:64	3:103779	4:76304	5:153123	6:31865	7:14417	8:30510	9:6105	10:14078	
1	1:80	2:48	3:66045	4:16684	5:16777102	6:2669	7:179	8:1073	9:772	10:533	
1	1:69	2:37	3:460569	4:198972	5:7739	6:16568	7:8484	8:16757876	9:7380	10:13872	
1	1:67	2:14	3:48613	4:9139	5:2015	6:996	7:3807	8:2630	9:1548	10:2222	
1	1:66	2:14	3:222033	4:13366	5:4295	6:698	7:1281	8:1692	9:838	10:864	
1	1:64	2:30	3:357007	4:58246	5:6206	6:18013	7:12251	8:7357	9:15440	10:9714	
1	1:69	2:43	3:224745	4:79857	5:24047	6:15315	7:29546	8:20032	9:14348	10:12688	
1	1:75	2:53	3:46181	4:16760300	5:28233	6:15346	7:6963	8:16745409	9:8092	10:11820	
1	1:96	2:74	3:1117997	4:16756563	5:16754389	6:7703	7:15409	8:18551	9:12022	10:15289	
1	1:100	2:80	3:23797	4:8123	5:557	6:16757297	7:15618	8:16749573	9:7394	10:2249	
1	1:88	2:69	3:27676	4:16756432	5:22360	6:14728	7:8024	8:26422	9:12891	10:18574	
1	1:90	2:61	3:413009	4:180235	5:16762078	6:20521	7:11507	8:21207	9:23172	10:14555	
1	1:81	2:54	3:108770	4:26459	5:5246	6:8134	7:7449	8:10143	9:2413	10:5264	
1	1:90	2:43	3:142117	4:30094	5:12971	6:8288	7:7731	8:13014	9:2630	10:5148	
1	1:100	2:26	3:731181	4:10734	5:1848	6:4267	7:3882	8:12957	9:1857	10:4201	
1	1:87	2:16	3:106673	4:16746831	5:292	6:2081	7:1752	8:9762	9:1448	10:4123	
1	1:90	2:16	3:1139192	4:120709	5:11071	6:16277	7:19692	8:13095	9:11438	10:14524	
1	1:87	2:7	3:1053242	4:31117	5:15490	6:13915	7:29511	8:19727	9:14835	10:16556	
1	1:77	2:23	3:640627	4:16760160	5:555	6:7518	7:11651	8:26913	9:16905	10:12107	
1	1:74	2:17	3:1196327	4:103002	5:15970	6:20225	7:11872	8:15958	9:8150	10:7289	
1	1:74	2:23	3:2066695	4:299063	5:11556	6:21189	7:19619	8:12806	9:22173	10:12285	
1	1:66	2:30	3:35629	4:16767456	5:16770721	6:10584	7:22810	8:16753820	9:13817	10:11207	
1	1:66	2:38	3:886617	4:50884	5:13020	6:18168	7:30949	8:16749487	9:13804	10:5608	
1	1:70	2:30	3:283456	4:183140	5:86292	6:20059	7:17657	8:28460	9:7517	10:25113	
1	1:69	2:23	3:14722	4:258662	5:4349	6:2913	7:22276	8:17111	9:11971	10:12795	
1	1:60	2:35	3:530709	4:16769119	5:10465	6:3992	7:10312	8:17039	9:8433	10:7768	
1	1:77	2:30	3:159790	4:96718	5:5301	6:31704	7:17450	8:11577	9:12096	10:17328	
1	1:81	2:64	3:82697	4:16758554	5:1278	6:11833	7:6951	8:16749265	9:9344	10:19864	
1	1:87	2:80	3:74979	4:72300	5:16748316	6:20223	7:8458	8:11216	9:16102	10:10519	
1	1:78	2:69	3:16761828	4:14816	5:16754939	6:15012	7:14396	8:16750433	9:25221	10:5734	
1	1:70	2:81	3:207633	4:16763279	5:3204	6:3352	7:6125	8:1494	9:691	10:1944	
1	1:75	2:80	3:16753376	4:17175	5:4522	6:15755	7:16571	8:10187	9:19235	10:6183	
1	1:63	2:70	3:29540	4:29823	5:23119	6:4738	7:18803	8:8303	9:3139	10:8172	
1	1:64	2:81	3:29017	4:16765875	5:6939	6:24048	7:30289	8:10215	9:4101	10:4777	
1	1:51	2:74	3:27690	4:71246	5:5846	6:17165	7:2109	8:3069	9:5886	10:5650	
1	1:37	2:69	3:16747552	4:159600	5:21627	6:16998	7:13853	8:9201	9:6434	10:5062	
1	1:35	2:69	3:48684	4:147920	5:32356	6:29601	7:18098	8:4039	9:5130	10:3218	
1	1:38	2:77	3:16768516	4:91530	5:13820	6:27266	7:10133	8:14955	9:13279	10:9506	
1	1:40	2:75	3:16748831	4:40077	5:16769338	6:11963	7:5519	8:8748	9:4569	10:1754	
1	1:51	2:69	3:19305	4:136582	5:8715	6:15784	7:2454	8:8176	9:4320	10:3396	
1	1:54	2:66	3:47168	4:27116	5:5348	6:3604	7:5654	8:3522	9:2056	10:666	
1	1:61	2:61	3:27660	4:16753772	5:9873	6:4427	7:10706	8:7274	9:8222	10:4920	
1	1:75	2:67	3:1272093	4:61115	5:16754783	6:16637	7:13379	8:25671	9:9862	10:10251	
1	1:81	2:66	3:3810	4:82241	5:25117	6:12915	7:14142	8:32374	9:12942	10:5268	
1	1:77	2:63	3:97796	4:21308	5:5149	6:1061	7:1302	8:6667	9:5369	10:4122	
1	1:70	2:56	3:891123	4:115930	5:21342	6:11405	7:9567	8:16721	9:14532	10:23286	
1	1:63	2:51	3:2355	4:199821	5:16747658	6:9788	7:16744700	8:15301	9:17193	10:18035	
1	1:61	2:47	3:112881	4:16748549	5:4485	6:2940	7:1401	8:3954	9:5556	10:3675	
1	1:74	2:61	3:37822	4:27373	5:1109	6:3031	7:3956	8:7435	9:18873	10:1833	
1	1:87	2:74	3:25796	4:30092	5:17264	6:16756270	7:9186	8:28545	9:14160	10:11508	
1	1:100	2:87	3:16769122	4:16747037	5:32170	6:6282	7:10610	8:25498	9:16758726	10:21841	
1	1:100	2:100	3:9449	4:9028	5:13193	6:16775718	7:24345	8:16772327	9:16760361	10:12780	
1	1:100	2:87	3:902798	4:51852	5:16765993	6:17963	7:13823	8:16759538	9:13162	10:17646	
1	1:100	2:74	3:5312	4:16745404	5:7746	6:8392	7:7701	8:16746906	9:10225	10:14202	
1	1:100	2:67	3:14123	4:5989	5:1413	6:7198	7:6259	8:16760400	9:7115	10:21665	
1	1:94	2:67	3:28434	4:16746685	5:16746092	6:9162	7:7758	8:16761938	9:14094	10:14971	
1	1:93	2:64	3:43548	4:16764971	5:20994	6:6319	7:2177	8:5741	9:2892	10:2346	
1	1:81	2:66	3:93201	4:7464	5:2283	6:3299	7:599	8:25545	9:3073	10:974	
1	1:77	2:54	3:311766	4:16769535	5:7910	6:7380	7:4475	8:16745825	9:15448	10:16751468	
1	1:78	2:56	3:1314811	4:98593	5:10973	6:19784	7:5281	8:16761013	9:7153	10:17885	
1	1:64	2:53	3:1370379	4:50835	5:13895	6:16763306	7:24405	8:18710	9:5747	10:21255	
1	1:74	2:44	3:38667	4:16765472	5:2998	6:4943	7:6772	8:15708	9:1158	10:9200	
1	1:80	2:54	3:115420	4:8730	5:1062	6:659	7:1600	8:16286	9:3189	10:1646	
1	1:83	2:48	3:16744623	4:27174	5:12143	6:19544	7:10872	8:16753914	9:7701	10:32141	
1	1:83	2:53	3:192394	4:197039	5:29736	6:31019	7:10814	8:16763025	9:19306	10:24234	
1	1:69	2:64	3:914224	4:16747986	5:2988	6:6605	7:6664	8:9528	9:3639	10:5586	
1	1:57	2:54	3:390559	4:39712	5:30929	6:4998	7:6072	8:16745783	9:4854	10:29909	
1	1:57	2:56	3:208265	4:144591	5:15733	6:12225	7:11541	8:20299	9:10878	10:24571	
1	1:53	2:54	3:389755	4:16768515	5:11148	6:12471	7:25157	8:12454	9:16749250	10:20498	
1	1:43	2:41	3:1233920	4:151222	5:21685	6:9368	7:14250	8:19786	9:19287	10:8832	
1	1:51	2:54	3:89967	4:49030	5:4153	6:3212	7:4091	8:6027	9:2736	10:2635	
1	1:50	2:54	3:16776099	4:16746033	5:32341	6:16751722	7:23677	8:16759602	9:19861	10:9005	
1	1:44	2:66	3:51203	4:268575	5:16761710	6:19883	7:11260	8:16757929	9:19738	10:4410	
1	1:43	2:69	3:41660	4:16756796	5:25594	6:10206	7:7222	8:3499	9:3509	10:2937	
1	1:35	2:54	3:137247	4:208427	5:15267	6:4609	7:18120	8:8027	9:4899	10:6334	
1	1:37	2:64	3:62219	4:32379	5:1727	6:3498	7:3316	8:4733	9:2028	10:3346	
1	1:38	2:64	3:2640190	4:24656	5:11587	6:11423	7:7071	8:6889	9:17701	10:5932	
1	1:41	2:69	3:54137	4:16772255	5:16759095	6:8246	7:6991	8:7802	9:9410	10:4092	
1	1:35	2:81	3:646811	4:155698	5:12138	6:9031	7:6508	8:10333	9:11373	10:8787	
1	1:30	2:90	3:424891	4:67656	5:16747201	6:2910	7:7785	8:4226	9:3740	10:6055	
1	1:44	2:77	3:134579	4:16776870	5:92902	6:16744997	7:9640	8:20302	9:18567	10:12896	
1	1:50	2:77	3:787140	4:27674	5:7545	6:4858	7:22048	8:21380	9:16753324	10:27994	
1	1:69	2:66	3:122303	4:16761839	5:6424	6:998	7:1494	8:7462	9:2075	10:5858	
1	1:77	2:56	3:16776975	4:14505	5:2539	6:3370	7:702	8:16547	9:2582	10:8266	
1	1:80	2:63	3:86628	4:16750804	5:18040	6:15713	7:8669	8:25382	9:17389	10:15198	
1	1:84	2:75	3:10933	4:26242	5:17729	6:5458	7:7164	8:16747702	9:12428	10:13679	
1	1:80	2:74	3:16750889	4:140579	5:16763893	6:16756567	7:15363	8:16773463	9:14306	10:17886	
1	1:77	2:74	3:878377	4:16753078	5:3321	6:9289	7:2319	8:22467	9:14730	10:5563	
1	1:66	2:63	3:92115	4:14935	5:10295	6:1013	7:4175	8:5703	9:3069	10:3616	
1	1:74	2:60	3:350472	4:165004	5:25624	6:5117	7:18487	8:16749887	9:12075	10:14420	
